scenario,task_count,model,workers,label,repeats,duration_seconds_median,duration_seconds_mean,duration_seconds_min,duration_seconds_max,throughput_tasks_per_second_median,throughput_tasks_per_second_mean,throughput_tasks_per_second_min,throughput_tasks_per_second_max,peak_extra_python_threads_median,peak_extra_python_threads_mean,peak_extra_python_threads_min,peak_extra_python_threads_max,peak_rss_delta_mb_median,peak_rss_delta_mb_mean,peak_rss_delta_mb_min,peak_rss_delta_mb_max,peak_tracemalloc_mb_median,peak_tracemalloc_mb_mean,peak_tracemalloc_mb_min,peak_tracemalloc_mb_max,completed_tasks_median,completed_tasks_mean,completed_tasks_min,completed_tasks_max
cpu_bound,50,asyncio,,asyncio-cpu,5,0.5299911000001885,0.5282591399998637,0.514226499999495,0.5375573999990593,94.34120686174205,94.67660554179146,93.01332285647543,97.23341756997958,0.0,0.0,0.0,0.0,0.01953125,0.01953125,0.01953125,0.01953125,0.044297218322753906,0.044315528869628903,0.044266700744628906,0.044449806213378906,50.0,50.0,50.0,50.0
cpu_bound,50,threads,50,threads-cpu-50,5,0.508981800001493,0.5106394999995245,0.4923386999980721,0.5316095999987738,98.23533965232812,97.9782000996983,94.05398247156434,101.556103552688,10.0,9.8,9.0,10.0,0.21484375,0.2125,0.1953125,0.2265625,0.10822010040283203,0.10798397064208984,0.10596084594726562,0.10889148712158203,50.0,50.0,50.0,50.0
cpu_bound,50,threads,100,threads-cpu-100,5,0.5261013999988791,0.5233653600000252,0.4940698999998858,0.5551013000003877,95.03871306958418,95.68373663344346,90.07364962028566,101.20025526754728,10.0,10.2,9.0,11.0,0.21484375,0.215625,0.1953125,0.234375,0.10846710205078125,0.10878372192382812,0.10501670837402344,0.11143779754638672,50.0,50.0,50.0,50.0
cpu_bound,50,threads,200,threads-cpu-200,5,0.5054694999998901,0.5094647400001122,0.5037646999990102,0.5237741000019014,98.91793669056366,98.16276477348939,95.46100122136336,99.25268682005357,10.0,10.2,9.0,11.0,0.21484375,0.21796875,0.1953125,0.234375,0.10992717742919922,0.10975227355957032,0.10644340515136719,0.11178112030029297,50.0,50.0,50.0,50.0
cpu_bound,100,asyncio,,asyncio-cpu,5,1.0373840000029304,1.042684160000499,1.0122225000013714,1.073253599999589,96.39631997381638,95.95148092631823,93.1746234068428,98.79250856394174,0.0,0.0,0.0,0.0,0.01953125,0.01640625,0.00390625,0.01953125,0.07708263397216797,0.07708873748779296,0.07701396942138672,0.07716655731201172,100.0,100.0,100.0,100.0
cpu_bound,100,threads,50,threads-cpu-50,5,0.9817017999994277,0.9816165999996883,0.9588862999989942,1.0129283999995096,101.86392649993948,101.91532193727528,98.72366102090574,104.28765120547128,16.0,16.0,15.0,18.0,0.3125,0.32109375,0.296875,0.37109375,0.20461368560791016,0.20560855865478517,0.20238399505615234,0.21236896514892578,100.0,100.0,100.0,100.0
cpu_bound,100,threads,100,threads-cpu-100,5,1.0001001000018732,1.0052047400007722,0.9810236000012083,1.0470337000006111,99.98999100171342,99.53758381847419,95.50790963074219,101.93434694117128,16.0,16.2,14.0,18.0,0.33203125,0.334375,0.29296875,0.37109375,0.20576190948486328,0.20641326904296875,0.20048141479492188,0.21129608154296875,100.0,100.0,100.0,100.0
cpu_bound,100,threads,200,threads-cpu-200,5,0.9827889000007417,0.983299459999398,0.9679943999981333,1.0012109999988752,101.75125095524027,101.7110187475934,99.87904647483133,103.30638276439703,16.0,15.8,14.0,18.0,0.33203125,0.328125,0.29296875,0.37109375,0.2054157257080078,0.20472240447998047,0.19912338256835938,0.2113494873046875,100.0,100.0,100.0,100.0
cpu_bound,200,asyncio,,asyncio-cpu,5,2.076824600000691,2.0707024600000294,2.0175510000008217,2.105939400000352,96.30086238382069,96.60853422053943,94.96949437384882,99.13008394827122,0.0,0.0,0.0,0.0,0.01953125,0.01328125,0.00390625,0.01953125,0.15643978118896484,0.15707988739013673,0.15621089935302734,0.15978527069091797,200.0,200.0,200.0,200.0
cpu_bound,200,threads,50,threads-cpu-50,5,1.9914516999997431,1.9849981200000912,1.9627220000002126,2.002285300000949,100.42924967752208,100.76128170742487,99.8858654158352,101.8993010726829,23.0,22.6,21.0,24.0,0.46875,0.46953125,0.4296875,0.53125,0.3846578598022461,0.38672313690185545,0.3794584274291992,0.40006351470947266,200.0,200.0,200.0,200.0
cpu_bound,200,threads,100,threads-cpu-100,5,1.9928467999998247,2.001426440000796,1.9590852000001178,2.0615348999999696,100.35894379839814,99.95969534742565,97.01509297756877,102.08846455477688,24.0,23.6,22.0,25.0,0.48828125,0.4890625,0.44921875,0.5234375,0.3912782669067383,0.3891712188720703,0.3831977844238281,0.3946533203125,200.0,200.0,200.0,200.0
cpu_bound,200,threads,200,threads-cpu-200,5,1.9947289999981876,2.003440759998921,1.9645539999983157,2.0633182999990822,100.2642464215348,99.86428932922131,96.93123935366103,101.80427720498977,23.0,23.0,21.0,24.0,0.46875,0.47109375,0.4296875,0.5,0.38751888275146484,0.3862752914428711,0.3823404312133789,0.38849830627441406,200.0,200.0,200.0,200.0
tcp_io,100,asyncio,,asyncio-tcp,5,0.1579700000002049,0.1619187600001169,0.13012420000086422,0.20583579999947688,633.0315882754339,632.0261311893207,485.8241374933522,768.4965594357994,0.0,0.0,0.0,0.0,5.83203125,5.4453125,2.05078125,7.65234375,6.803116798400879,6.825442886352539,6.790068626403809,6.891741752624512,100.0,100.0,100.0,100.0
