version,opt,threads,run,guess_time,hash_time,train_time,total_time,status,output_file
OMP,O0,1,1,7.68579,10.3227,93.6129,18.008490,ok,data/20260521-2201_OMP_O0_T1_run1.o
OMP,O0,1,2,7.74586,10.3859,93.1389,18.131760,ok,data/20260521-2208_OMP_O0_T1_run2.o
OMP,O0,1,3,7.78007,10.4209,89.9036,18.200970,ok,data/20260521-2215_OMP_O0_T1_run3.o
OMP,O0,1,4,7.68608,10.3451,93.696,18.031180,ok,data/20260521-2222_OMP_O0_T1_run4.o
OMP,O0,1,5,7.7986,10.438,95.3227,18.236600,ok,data/20260521-2229_OMP_O0_T1_run5.o
OMP,O0,2,1,7.57759,10.5158,94.8725,18.093390,ok,data/20260521-2236_OMP_O0_T2_run1.o
OMP,O0,2,2,7.73431,10.5433,93.8378,18.277610,ok,data/20260521-2244_OMP_O0_T2_run2.o
OMP,O0,2,3,7.61263,10.4746,91.4296,18.087230,ok,data/20260521-2251_OMP_O0_T2_run3.o
OMP,O0,2,4,7.55392,10.4465,94.0839,18.000420,ok,data/20260521-2258_OMP_O0_T2_run4.o
OMP,O0,2,5,7.59315,10.4222,91.6102,18.015350,ok,data/20260521-2305_OMP_O0_T2_run5.o
OMP,O0,4,1,7.47335,10.3171,93.1171,17.790450,ok,data/20260521-2312_OMP_O0_T4_run1.o
OMP,O0,4,2,7.33899,10.3599,96.7269,17.698890,ok,data/20260521-2319_OMP_O0_T4_run2.o
OMP,O0,4,3,7.47738,10.3204,93.9011,17.797780,ok,data/20260521-2326_OMP_O0_T4_run3.o
OMP,O0,4,4,7.61941,10.6095,93.7158,18.228910,ok,data/20260521-2333_OMP_O0_T4_run4.o
OMP,O0,4,5,7.4477,10.1846,96.8355,17.632300,ok,data/20260521-2341_OMP_O0_T4_run5.o
OMP,O0,8,1,7.35919,10.355,95.6546,17.714190,ok,data/20260521-2348_OMP_O0_T8_run1.o
OMP,O0,8,2,7.49207,10.5127,95.697,18.004770,ok,data/20260521-2355_OMP_O0_T8_run2.o
OMP,O0,8,3,7.48409,10.2712,94.6523,17.755290,ok,data/20260522-0002_OMP_O0_T8_run3.o
OMP,O0,8,4,7.45918,10.3189,94.3999,17.778080,ok,data/20260522-0009_OMP_O0_T8_run4.o
OMP,O0,8,5,7.40385,10.4412,94.1485,17.845050,ok,data/20260522-0016_OMP_O0_T8_run5.o
OMP,O1,1,1,0.555468,1.10171,25.66,1.657178,ok,data/20260522-0022_OMP_O1_T1_run1.o
OMP,O1,1,2,0.554356,1.10414,25.9842,1.658496,ok,data/20260522-0028_OMP_O1_T1_run2.o
OMP,O1,1,3,0.554208,1.09634,26.0943,1.650548,ok,data/20260522-0034_OMP_O1_T1_run3.o
OMP,O1,1,4,0.589506,1.13584,25.3732,1.725346,ok,data/20260522-0039_OMP_O1_T1_run4.o
OMP,O1,1,5,0.571245,1.09575,25.4861,1.666995,ok,data/20260522-0045_OMP_O1_T1_run5.o
OMP,O1,2,1,0.44247,1.09291,24.8207,1.535380,ok,data/20260522-0050_OMP_O1_T2_run1.o
OMP,O1,2,2,0.46716,1.10183,25.3906,1.568990,ok,data/20260522-0056_OMP_O1_T2_run2.o
OMP,O1,2,3,0.511511,1.11703,25.7179,1.628541,ok,data/20260522-0102_OMP_O1_T2_run3.o
OMP,O1,2,4,0.44576,1.09425,24.7093,1.540010,ok,data/20260522-0107_OMP_O1_T2_run4.o
OMP,O1,2,5,0.524412,1.45131,26.7317,1.975722,ok,data/20260522-0113_OMP_O1_T2_run5.o
OMP,O1,4,1,0.449954,1.29104,24.4146,1.740994,ok,data/20260522-0119_OMP_O1_T4_run1.o
OMP,O1,4,2,0.505167,1.37504,25.7796,1.880207,ok,data/20260522-0124_OMP_O1_T4_run2.o
OMP,O1,4,3,0.420395,1.13349,25.9677,1.553885,ok,data/20260522-0130_OMP_O1_T4_run3.o
OMP,O1,4,4,0.397586,1.08951,25.6893,1.487096,ok,data/20260522-0135_OMP_O1_T4_run4.o
OMP,O1,4,5,0.394006,1.08749,25.7313,1.481496,ok,data/20260522-0141_OMP_O1_T4_run5.o
OMP,O1,8,1,0.375275,1.10525,26.4583,1.480525,ok,data/20260522-0147_OMP_O1_T8_run1.o
OMP,O1,8,2,0.454251,1.36689,25.6956,1.821141,ok,data/20260522-0152_OMP_O1_T8_run2.o
OMP,O1,8,3,0.394607,1.10036,25.5272,1.494967,ok,data/20260522-0158_OMP_O1_T8_run3.o
OMP,O1,8,4,0.348592,1.10328,25.4876,1.451872,ok,data/20260522-0204_OMP_O1_T8_run4.o
OMP,O1,8,5,0.372739,1.10511,22.867,1.477849,ok,data/20260522-0209_OMP_O1_T8_run5.o
OMP,O2,1,1,0.613263,1.34941,25.3925,1.962673,ok,data/20260522-0215_OMP_O2_T1_run1.o
OMP,O2,1,2,0.539169,1.04709,24.1485,1.586259,ok,data/20260522-0221_OMP_O2_T1_run2.o
OMP,O2,1,3,0.545465,1.05555,25.5515,1.601015,ok,data/20260522-0226_OMP_O2_T1_run3.o
OMP,O2,1,4,0.557691,1.05934,25.5967,1.617031,ok,data/20260522-0232_OMP_O2_T1_run4.o
OMP,O2,1,5,0.530316,1.04834,25.4496,1.578656,ok,data/20260522-0238_OMP_O2_T1_run5.o
OMP,O2,2,1,0.450933,1.05212,24.5744,1.503053,ok,data/20260522-0243_OMP_O2_T2_run1.o
OMP,O2,2,2,0.422679,1.05054,25.6909,1.473219,ok,data/20260522-0249_OMP_O2_T2_run2.o
OMP,O2,2,3,0.454763,1.09129,24.8068,1.546053,ok,data/20260522-0254_OMP_O2_T2_run3.o
OMP,O2,2,4,0.436649,1.05486,25.5153,1.491509,ok,data/20260522-0300_OMP_O2_T2_run4.o
OMP,O2,2,5,0.541966,1.30098,25.3904,1.842946,ok,data/20260522-0306_OMP_O2_T2_run5.o
OMP,O2,4,1,0.409795,1.0876,25.9139,1.497395,ok,data/20260522-0311_OMP_O2_T4_run1.o
OMP,O2,4,2,0.389916,1.0841,24.7873,1.474016,ok,data/20260522-0317_OMP_O2_T4_run2.o
OMP,O2,4,3,0.387411,1.06031,24.5945,1.447721,ok,data/20260522-0323_OMP_O2_T4_run3.o
OMP,O2,4,4,0.371175,1.0675,25.7919,1.438675,ok,data/20260522-0328_OMP_O2_T4_run4.o
OMP,O2,4,5,0.382314,1.07507,25.4514,1.457384,ok,data/20260522-0334_OMP_O2_T4_run5.o
OMP,O2,8,1,0.346104,1.05689,25.632,1.402994,ok,data/20260522-0339_OMP_O2_T8_run1.o
OMP,O2,8,2,0.348096,1.05905,25.8848,1.407146,ok,data/20260522-0345_OMP_O2_T8_run2.o
OMP,O2,8,3,0.350217,1.05515,25.6356,1.405367,ok,data/20260522-0351_OMP_O2_T8_run3.o
OMP,O2,8,4,0.37421,1.07271,25.6108,1.446920,ok,data/20260522-0356_OMP_O2_T8_run4.o
OMP,O2,8,5,0.348095,1.06993,25.3891,1.418025,ok,data/20260522-0402_OMP_O2_T8_run5.o
