version,opt,threads,runs,avg_guess,avg_hash,avg_train,avg_total
pthread,O2,8,5,0.470172,1.098848,24.834040,1.569020
pthread,O1,16,5,0.536507,1.218556,24.814380,1.755063
pthread,O1,1,5,0.601631,1.211304,25.603420,1.812935
pthread,O1,2,5,0.543497,1.201696,25.404140,1.745193
pthread,O2,16,5,0.453617,1.074794,24.177500,1.528411
pthread,O0,8,5,7.610766,10.267180,93.394840,17.877946
pthread,O1,4,5,0.514514,1.274350,25.088960,1.788864
pthread,O2,1,5,0.517455,1.060358,24.860880,1.577813
pthread,O2,2,5,0.514156,1.110664,26.281660,1.624820
pthread,O1,8,6,0.621850,1.187190,25.188533,1.809040
pthread,O0,16,5,7.568828,10.276140,93.633280,17.844968
pthread,O2,4,5,0.441562,1.094812,24.869740,1.536374
pthread,O0,1,5,7.880964,10.427300,90.654300,18.308264
pthread,O0,2,5,7.908356,10.399320,92.463680,18.307676
pthread,O0,4,5,7.660298,10.364140,92.809600,18.024438
