version,opt,threads,run,guess_time,hash_time,train_time,total_time,status,output_file
serial,O0,1,1,8.03277,10.4655,95.8325,18.498270,ok,data/20260521-1046_serial_O0_T1_run1.o
serial,O0,1,2,7.93935,10.3892,94.3563,18.328550,ok,data/20260521-1053_serial_O0_T1_run2.o
serial,O0,1,3,7.92472,10.5517,96.7712,18.476420,ok,data/20260521-1100_serial_O0_T1_run3.o
serial,O0,1,4,7.84667,10.3104,102.907,18.157070,ok,data/20260521-1107_serial_O0_T1_run4.o
serial,O0,1,5,8.00814,10.2493,105.529,18.257440,ok,data/20260521-1115_serial_O0_T1_run5.o
serial,O1,1,1,0.645136,1.17906,25.4708,1.824196,ok,data/20260521-1120_serial_O1_T1_run1.o
serial,O1,1,2,0.585561,1.09357,24.0854,1.679131,ok,data/20260521-1126_serial_O1_T1_run2.o
serial,O1,1,3,0.591627,1.11978,24.9388,1.711407,ok,data/20260521-1132_serial_O1_T1_run3.o
serial,O1,1,4,0.606569,1.12179,24.6533,1.728359,ok,data/20260521-1137_serial_O1_T1_run4.o
serial,O1,1,5,0.590043,1.11214,24.7085,1.702183,ok,data/20260521-1143_serial_O1_T1_run5.o
serial,O2,1,1,0.738118,1.34439,24.6162,2.082508,ok,data/20260521-1149_serial_O2_T1_run1.o
serial,O2,1,2,0.617389,1.13051,24.5822,1.747899,ok,data/20260521-1154_serial_O2_T1_run2.o
serial,O2,1,3,0.746433,1.32117,24.081,2.067603,ok,data/20260521-1200_serial_O2_T1_run3.o
serial,O2,1,4,0.641659,1.13068,24.2051,1.772339,ok,data/20260521-1205_serial_O2_T1_run4.o
serial,O2,1,5,0.620034,1.12905,24.227,1.749084,ok,data/20260521-1211_serial_O2_T1_run5.o
