task_id	job_id	version	suite	nodes	ppn	np	generate	gen_threads	batch_guesses	batch_units	run
1	44868.master_ubss1	advanced	threads	1	8	4	10000000	1	100000	64	1
2	44869.master_ubss1	advanced	threads	1	8	4	10000000	1	100000	64	2
3	44870.master_ubss1	advanced	threads	1	8	4	10000000	1	100000	64	3
4	44871.master_ubss1	advanced	threads	1	8	4	10000000	2	100000	64	1
5	44872.master_ubss1	advanced	threads	1	8	4	10000000	2	100000	64	2
6	44873.master_ubss1	advanced	threads	1	8	4	10000000	2	100000	64	3
7	44874.master_ubss1	advanced	threads	1	8	4	10000000	3	100000	64	1
8	44875.master_ubss1	advanced	threads	1	8	4	10000000	3	100000	64	2
9	44876.master_ubss1	advanced	threads	1	8	4	10000000	3	100000	64	3
10	44877.master_ubss1	advanced	threads	1	8	4	10000000	4	100000	64	1
11	44878.master_ubss1	advanced	threads	1	8	4	10000000	4	100000	64	2
12	44879.master_ubss1	advanced	threads	1	8	4	10000000	4	100000	64	3
