batch_guesses,comm,comm_share,efficiency,gen_threads,guess,hash,np,processed,runs,speedup,suite,train,wall,wall_max,wall_min
,0.0,0.0,1.0,,0.177645,1.0799,1,10106852.0,3,1.0,base_scale,26.3415,1.47774,1.53098,1.45618
,1.31861,0.8489306362102932,0.47568983943447973,,0.198691,1.08392,2,10106852.0,3,0.9513796788689595,base_scale,29.7301,1.55326,1.57073,1.49773
,0.352613,0.6406602590890096,0.6712240411344682,,0.0684804,0.363594,4,10106852.0,3,2.684896164537873,base_scale,26.6058,0.55039,0.555569,0.532686
,0.0987645,0.3003028432603692,0.5616511038880089,,0.0372419,0.168138,8,10106852.0,3,4.493208831104071,base_scale,45.3495,0.328883,0.504336,0.297359
,0.0425251,0.16146094761501575,0.35067128109136336,,0.0261598,0.124169,16,10106852.0,3,5.610740497461814,base_scale,42.2861,0.263377,0.547999,0.225413
,0.0431217,0.18248091473839226,0.19542027777307583,,0.017396,0.0937228,32,10106852.0,3,6.2534488887384265,base_scale,37.5599,0.236308,0.236889,0.229197
,2.41943,0.9020083735045317,,,0.119535,1.12244,2,10106852.0,3,,advanced_scale,31.065,2.68227,3.42867,2.68092
,1.08305,0.7021940118518134,,,0.192703,0.404577,4,10106852.0,3,,advanced_scale,33.2332,1.54238,1.91606,1.20009
,0.77514,0.7151265776072036,,,0.144236,0.266076,8,10106852.0,3,,advanced_scale,30.9434,1.08392,1.11356,0.957501
,0.775905,0.7236974648833173,,,0.142998,0.24719,16,10106852.0,3,,advanced_scale,27.1115,1.07214,1.07792,1.02916
,0.976711,,,1,0.334514,0.375961,,10106852.0,3,,advanced_threads,24.7371,1.23136,1.28833,1.20575
,0.973121,,,2,0.159553,0.378193,,10106852.0,3,,advanced_threads,24.8478,1.21727,1.2387,1.20856
,0.932171,,,3,0.115355,0.370383,,10106852.0,3,,advanced_threads,25.3903,1.17319,1.24344,1.16314
,0.963883,,,4,0.102094,0.379805,,10106852.0,3,,advanced_threads,26.7855,1.20796,1.21303,1.17918
10000,0.853921,,,,0.0664827,0.361774,,10106852.0,3,,advanced_batch,24.3006,1.09649,1.11336,1.09511
50000,0.903782,,,,0.0849955,0.371753,,10106852.0,3,,advanced_batch,27.3,1.14331,1.15169,1.13759
100000,0.923059,,,,0.115477,0.376951,,10106852.0,3,,advanced_batch,24.2788,1.17171,1.17376,1.16714
500000,0.949456,,,,0.564914,0.411472,,10106852.0,3,,advanced_batch,25.1522,1.35116,1.49018,1.31242
