mode,limit,repeat,wall_ms,host_prepare_ms,host_pack_ms,host_unpack_ms,h2d_ms,kernel_ms,d2h_ms,gpu_total_ms,cpu_overlap_ms,input_units,gpu_units,cpu_fallback_units,gpu_guesses,cpu_fallback_guesses,count,hash,expected_hash,speedup,compare,correctness
cpu,10000,1,0.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,178038928751580416,178038928751580416,1.0,ordered,PASS
single,10000,1,4.7139,0.0272,0.2092,0.084,4.0339,0.0455,0.1147,4.1941,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0131,ordered,PASS
multi4,10000,1,0.6855,0.0262,0.0371,0.2128,0.1806,0.0107,0.0493,0.2405,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.09,ordered,PASS
overlap4,10000,1,4.1349,0.026,0.038,0.0884,0.0306,0.01,0.0509,0.0915,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0149,ordered,PASS
schedule_default,10000,1,3.6734,0.0266,0.0405,0.0839,0.0309,0.0098,0.0452,0.0859,0.0001,1,1,0,10000,0,10000,10269533762567681264,10269533762567681264,0.0168,sorted,PASS
schedule_conservative,10000,1,0.1424,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,10269533762567681264,10269533762567681264,0.4336,sorted,PASS
cpu,10000,2,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,178038928751580416,178038928751580416,1.0,ordered,PASS
single,10000,2,0.6401,0.0262,0.0394,0.0374,0.1471,0.0405,0.1343,0.3218,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0414,ordered,PASS
multi4,10000,2,0.6126,0.0261,0.0365,0.0373,0.1468,0.0459,0.1146,0.3073,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0433,ordered,PASS
overlap4,10000,2,4.4,0.0256,0.0533,0.0355,0.0463,0.0103,0.0455,0.1021,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.006,ordered,PASS
schedule_default,10000,2,2.1546,0.0215,0.0285,0.0273,0.0327,0.0102,0.0759,0.1188,0.0,1,1,0,10000,0,10000,10269533762567681264,10269533762567681264,0.0123,sorted,PASS
schedule_conservative,10000,2,0.1023,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,10269533762567681264,10269533762567681264,0.2591,sorted,PASS
cpu,10000,3,0.1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,178038928751580416,178038928751580416,1.0,ordered,PASS
single,10000,3,0.6079,0.0184,0.0378,0.0262,0.1516,0.0407,0.114,0.3063,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.1652,ordered,PASS
multi4,10000,3,0.4508,0.018,0.0284,0.0266,0.1438,0.0187,0.0573,0.2198,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.2228,ordered,PASS
overlap4,10000,3,2.5424,0.0194,0.0286,0.025,0.0327,0.0102,0.0449,0.0878,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0395,ordered,PASS
schedule_default,10000,3,1.7834,0.0182,0.0281,0.0248,0.034,0.0104,0.0488,0.0933,0.0,1,1,0,10000,0,10000,10269533762567681264,10269533762567681264,0.0563,sorted,PASS
schedule_conservative,10000,3,0.0981,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,10269533762567681264,10269533762567681264,1.024,sorted,PASS
cpu,10000,4,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,178038928751580416,178038928751580416,1.0,ordered,PASS
single,10000,4,0.5628,0.018,0.0278,0.0255,0.1488,0.0406,0.1175,0.3069,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0323,ordered,PASS
multi4,10000,4,0.5488,0.0178,0.0282,0.0254,0.1454,0.0406,0.1112,0.2971,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0331,ordered,PASS
overlap4,10000,4,1.6881,0.0177,0.0279,0.0248,0.0339,0.0103,0.0528,0.0971,0.0,1,1,0,10000,0,10000,178038928751580416,178038928751580416,0.0108,ordered,PASS
schedule_default,10000,4,1.6016,0.018,0.0279,0.0248,0.0326,0.0104,0.0434,0.0864,0.0,1,1,0,10000,0,10000,10269533762567681264,10269533762567681264,0.0113,sorted,PASS
schedule_conservative,10000,4,0.0978,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,10269533762567681264,10269533762567681264,0.1857,sorted,PASS
cpu,10000,5,0.0184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,10000,10000,178038928751580416,178038928751580416,1.0,ordered,PASS
